Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Completion Year,Tenure Type,Property Type,Floor Range,Land Title,State,price,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Bus_Stop,Has_Highway,Has_Railway_Station,Has_Nearby_School,Has_Nearby_Mall,Has_Nearby_Railway_Station
3.0,2.0,1098.0,,,0.0,,Leasehold,Apartment,High,Non Bumi Lot,Selangor,99000.0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
3.0,2.0,1273.0,,,2.0,,Freehold,Condominium,-,Non Bumi Lot,Penang,490000.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1161.0,38.0,406.0,2.0,2021.0,Freehold,Condominium,-,Non Bumi Lot,Penang,680000.0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1382.0,,224.0,3.0,2018.0,Freehold,Duplex,-,Non Bumi Lot,Selangor,663000.0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1087.0,38.0,420.0,2.0,2011.0,Freehold,Condominium,Medium,Non Bumi Lot,Penang,598000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,579.0,,,0.0,,Freehold,Condominium,Low,Non Bumi Lot,Kedah,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,844.0,,,0.0,,Leasehold,Apartment,Medium,Bumi Lot,Selangor,229000.0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,956.0,,,1.0,,Freehold,Apartment,Medium,Bumi Lot,Negeri Sembilan,250000.0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,900.0,43.0,474.0,0.0,2016.0,Freehold,Condominium,-,Non Bumi Lot,Selangor,375000.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,,,1.0,,Leasehold,Apartment,-,Non Bumi Lot,Selangor,234000.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,517.0,7.0,297.0,2.0,2014.0,Freehold,Condominium,Medium,Non Bumi Lot,Penang,730000.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,800.0,,,1.0,,Leasehold,Service Residence,Medium,Non Bumi Lot,Sungai Besi,405000.0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1243.0,24.0,240.0,2.0,2021.0,Leasehold,Service Residence,-,Non Bumi Lot,Selangor,440000.0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
3.0,2.0,1080.0,,,2.0,,Freehold,Condominium,Medium,Non Bumi Lot,Seri Kembangan,390000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,30.0,500.0,1.0,2012.0,Freehold,Apartment,-,Non Bumi Lot,Penang,380000.0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1097.0,,,0.0,,Freehold,Service Residence,-,Non Bumi Lot,Johor,399000.0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,,,1.0,,Freehold,Apartment,Low,Non Bumi Lot,Selangor,338000.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,975.0,,654.0,1.0,2013.0,Freehold,Condominium,Medium,Non Bumi Lot,Kuala Lumpur,490000.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0
3.0,2.0,1018.0,,,2.0,,Leasehold,Condominium,Medium,Non Bumi Lot,Kuala Lumpur,458000.0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0
1.0,1.0,430.0,25.0,2003.0,1.0,2019.0,Freehold,Service Residence,Low,Non Bumi Lot,Johor,200000.0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1150.0,14.0,96.0,1.0,1997.0,Freehold,Condominium,Low,Non Bumi Lot,Penang,600000.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1366.0,27.0,162.0,0.0,2017.0,Leasehold,Condominium,-,Bumi Lot,Selangor,470000.0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
1.0,1.0,420.0,,,0.0,,Freehold,Condominium,High,Non Bumi Lot,-,299000.0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,720.0,,160.0,1.0,2018.0,Leasehold,Condominium,Medium,Non Bumi Lot,Melaka,320000.0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,30.0,500.0,1.0,2012.0,Freehold,Apartment,-,Non Bumi Lot,Penang,350000.0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,786.0,5.0,,0.0,,Freehold,Apartment,-,Bumi Lot,Selangor,150000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,32.0,988.0,1.0,1997.0,Freehold,Condominium,Medium,Non Bumi Lot,Penang,350000.0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1097.0,,,0.0,,Leasehold,Apartment,Low,Non Bumi Lot,Sarawak,320000.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,860.0,27.0,,1.0,2005.0,Freehold,Condominium,-,Non Bumi Lot,Penang,430000.0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,900.0,33.0,149.0,2.0,2024.0,Freehold,Condominium,-,Malay Reserved,Kuala Lumpur,498000.0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,689.0,,,0.0,,Freehold,Apartment,Medium,Non Bumi Lot,Penang,200000.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,650.0,5.0,,0.0,,Leasehold,Flat,High,Non Bumi Lot,Selangor,165000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1.0,1.0,513.0,21.0,780.0,1.0,,Freehold,Service Residence,High,Non Bumi Lot,Johor,280000.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,926.0,,684.0,1.0,,Leasehold,Condominium,-,Non Bumi Lot,Selangor,299999.0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1
3.0,2.0,700.0,5.0,,0.0,,Leasehold,Apartment,-,Bumi Lot,Kuala Lumpur,230000.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3.0,3.0,1598.0,42.0,670.0,2.0,2017.0,Freehold,Condominium,-,Non Bumi Lot,Penang,610000.0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,550.0,,,0.0,,Freehold,Flat,Low,Non Bumi Lot,Selangor,84999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,5.0,360.0,1.0,1994.0,Freehold,Condominium,-,Non Bumi Lot,Penang,265000.0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,990.0,20.0,196.0,2.0,2007.0,Freehold,Condominium,-,Non Bumi Lot,Kuala Lumpur,410000.0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
2.0,2.0,740.0,,,1.0,,Freehold,Service Residence,Medium,Non Bumi Lot,Johor Bahru,360000.0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,650.0,3.0,,0.0,2015.0,Freehold,Apartment,High,Non Bumi Lot,Selangor,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3.0,2.0,1060.0,25.0,237.0,2.0,1996.0,Freehold,Condominium,Medium,Non Bumi Lot,Penang,480000.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,506.0,,,0.0,,Freehold,Apartment,High,Non Bumi Lot,Johor,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
